time,difficulty,peoples,detail,name
3课时							116分钟,高级,3567,"
			本课程为OpenGL ES课程的下半部分，将把 OpenGL ES 和 EGL 以及 GLSL 串起来讲解，并按照 OpenGL ES 的流程，详细介绍OpenGL ES中的主要API，绑定 Shader，传入绘制信息，并执行绘制命令。
		",Cocos2d-x 引擎源码中的 OpenGL ES知识（下）
1课时							21分钟,初级,4959,"
			2016编程之美挑战赛已进入复赛阶段，为了帮助大家更好的使用 Azure，我们将在5月4日晚上推出2016编程之美挑战赛“凌云之智”系列分享之 Azure 课程。
		",编程之美“凌云之智“线上分享之 Azure 线上培训及工程师答疑
4课时							42分钟,初级,6238,"
			本课程主要讲文件夹自动整理。将手机上除了第一屏之外的应用自动整理到文件夹，并能指定位置、固定位置。和上一节课的适配所有机型的桌面布局类似，方法可以借鉴。
		",Launcher3－文件夹自动整理
2课时							51分钟,初级,1660,"
			本课程通过 AWS 的最佳实践，能够帮助企业业务以高效方式实现线下数据中心迁移到 AWS 云上环境，包括迁移战略，迁移方法，迁移规划和迁移执行。 
		",AWS 云上大规模迁移的最佳实践
2课时							46分钟,初级,2587,"
			本课程是 AWS re:Invent 2016 Recap 北京站活动分享了 AWS 人工智能新服务专场，分享了深度学习在多个领域中推动人工智能的发展，以及如何在商业中取得成功。
		",AWS 人工智能新服务解析—Rekognition、Polly 及 Lex 服务
4课时							29分钟,初级,6921,"
			本课程主要介绍 iOS 如何创建静态库、如何创建 Framework 类库，以及如何提供 SDK 供其他人员调用。同时对第三方支付进行进一步的封装，以一个 SDK 的方式对外提供。
		",iOS 封装第三方支付 SDK
3课时							46分钟,初级,3779,"
			物联网信息安全比互联网中的信息安全更具挑战性。本课程重点介绍物联网中 RFID 安全和位置隐私两大安全隐患以及典型的安全机制。
		",物联网技术导论（十一）物联网中的信息安全与隐私保护
5课时							39分钟,中级,9257,"
			本课程介绍学生信息管理系统中的保存学生信息模块、加载学生信息模块、显示学生信息模块、查找学生信息模块以及删除学生信息模块。在理解系统功能的基础上，编写各个模块的代码，并对代码的关键部分进行讲解。

		",C 语言编程实战：学生信息管理系统（下）
4课时							33分钟,中级,4235,"
			本课程学习二叉树的 DFS，讲解节点所在层数、最大深度等面试题，并总结解题规律，让大家初步掌握 DFS 相关面试题的常用解法。
		",名企数据结构面试题之 DFS（上）
5课时							46分钟,高级,6887,"
			本课程主要讲解通过使用 tornado 中 ioloop，iostream 等相关 API 进行TCP编程。简单介绍了rpc相关知识，并且与同类框架 twisted 进行比较。
		",Tornado 开发--TCP 编程
